27,623,402,275,214,161,142,128
28,636,410,281,218,169,148,133
29,649,418,286,223,178,155,139
30,662,427,292,227,188,162,145
31,676,436,298,232,198,170,151
32,690,445,304,237,210,178,157
33,704,454,310,241,222,187,164
34,718,463,317,246,236,197,172
35,733,473,323,251,251,208,180
36,748,482,330,257,266,219,188
37,764,492,337,262,285,232,197
38,779,502,344,267,306,246,207
39,795,512,351,272,330,261,218
40,811,523,358,278,358,278,230
41,828,534,365,284,384,294,242
42,845,544,372,289,420,315,256
43,862,556,380,295,463,338,272
44,880,567,387,301,515,365,289
45,898,578,395,307,578,395,307
46,916,590,403,314,612,424,325
47,934,602,411,320,700,464,348
48,953,614,420,327,815,512,374
49,972,626,428,335,972,569,403
50,992,639,437,342,,639,437
51,1011,651,446,350,,675,469
52,1032,664,456,358,,773,513
53,1052,677,466,367,,900,566
54,1073,691,477,377,,1073,629
55,1094,706,488,387,,,706
56,1115,722,500,,,,747
57,1137,738,513,,,,855
58,1162,756,527,,,,996
59,1188,775,542,,,,1188
60,1216,795,570,,,,
61,1245,,,,,,
62,1270,,,,,,
63,1296,,,,,,
64,1322,,,,,,
