37,"11,113","12,781","17,896","11,336","13,164","18,189"
38,"11,288","12,980","18,177","11,515","13,370","18,475"
39,"11,440","13,155","18,421","11,668","13,550","18,723"
40,"11,592","13,330","18,667","11,824","13,730","18,973"
41,"11,743","13,504","18,911","11,978","13,910","19,221"
42,"11,895","13,679","19,157","12,134","14,089","19,471"
43,"12,047","13,854","19,400","12,288","14,269","19,718"
44,"12,585","14,473","20,268","12,837","14,908","20,600"
45,"13,124","15,091","21,133","13,386","15,544","21,479"
46,"13,660","15,710","22,000","13,935","16,182","22,361"
47,"14,199","16,328","22,865","14,484","16,818","23,240"
48,"14,737","16,948","23,733","15,033","17,456","24,122"
49,"16,056","18,463","25,856","16,378","19,017","26,280"
50,"17,374","19,979","27,979","17,721","20,578","28,438"
51,"18,692","21,497","30,100","19,066","22,142","30,593"
52,"20,010","23,013","32,223","20,409","23,703","32,751"
53,"21,328","24,528","34,346","21,755","25,264","34,909"
54,"22,539","25,919","36,294","22,988","26,697","36,889"
55,"23,747","27,310","38,242","24,221","28,130","38,869"
56,"24,957","28,699","40,188","25,456","29,560","40,847"
57,"26,165","30,090","42,136","26,689","30,993","42,827"
58,"27,375","31,481","44,084","27,922","32,426","44,807"
59,"30,570","35,157","49,231","31,182","36,212","50,038"
60,"33,768","38,833","54,378","34,442","39,998","55,269"
61,"36,964","42,509","59,527","37,704","43,785","60,503"
62,"40,162","46,185","64,674","40,964","47,571","65,734"
63,"43,358","49,861","69,821","44,225","51,357","70,965"
64,"46,123","53,042","74,275","47,046","54,634","75,493"
65,"48,888","56,224","78,729","49,868","57,910","80,020"
66,"51,656","59,403","83,184","52,687","61,185","84,547"
67,"54,421","62,584","87,638","55,508","64,461","89,075"
68,"57,186","65,765","92,092","58,330","67,738","93,602"
69,"59,536","68,466","95,874","60,725","70,520","97,446"
70,"61,885","71,167","99,656","63,122","73,302","101,290"
