37,"9,304","10,992","16,857","9,493","11,045","17,150"
38,"9,552","11,285","17,304","9,743","11,339","17,605"
39,"9,681","11,440","17,541","9,876","11,495","17,846"
40,"9,813","11,593","17,778","10,010","11,649","18,087"
41,"9,942","11,748","18,014","10,142","11,804","18,328"
42,"10,074","11,903","18,251","10,275","11,960","18,569"
43,"10,205","12,055","18,488","10,409","12,114","18,809"
44,"10,523","12,432","19,064","10,731","12,492","19,396"
45,"10,839","12,809","19,638","11,058","12,870","19,979"
46,"11,157","13,181","20,214","11,380","13,245","20,566"
47,"11,473","13,557","20,786","11,705","13,623","21,147"
48,"11,792","13,934","21,362","12,029","14,001","21,733"
49,"12,457","14,722","22,569","12,708","14,793","22,962"
50,"13,123","15,507","23,777","13,386","15,582","24,190"
51,"13,791","16,295","24,984","14,067","16,373","25,419"
52,"14,455","17,080","26,192","14,746","17,163","26,647"
53,"15,123","17,870","27,399","15,424","17,956","27,876"
54,"15,972","18,868","28,934","16,290","18,960","29,438"
55,"16,820","19,871","30,472","17,155","19,967","31,002"
56,"17,664","20,872","32,007","18,018","20,973","32,564"
57,"18,512","21,875","33,542","18,883","21,980","34,125"
58,"19,361","22,875","35,080","19,749","22,986","35,690"
59,"20,523","24,246","37,184","20,934","24,363","37,830"
60,"21,683","25,621","39,288","22,116","25,745","39,971"
61,"22,843","26,992","41,390","23,301","27,123","42,109"
62,"24,005","28,365","43,494","24,484","28,502","44,250"
63,"25,165","29,738","45,598","25,670","29,882","46,391"
64,"26,915","31,802","48,764","27,454","31,955","49,612"
65,"28,662","33,868","51,934","29,237","34,031","52,837"
66,"30,412","35,934","55,100","31,021","36,107","56,058"
67,"32,162","38,000","58,268","32,804","38,183","59,282"
68,"33,909","40,065","61,436","34,588","40,259","62,505"
69,"34,416","40,664","62,352","35,103","40,860","63,437"
70,"34,921","41,260","63,266","35,621","41,459","64,366"
