18,121664,190570,277227,358492,538401,602920,661876,715544,1298,7269,11383,16558,21408,32141,35985,39507,42717,42717
19,119554,187260,272410,352260,515680,580190,639166,692850,1275,7143,11185,16268,21034,30782,34626,38147,41358,41358
20,117480,184008,267675,346131,493354,557856,616844,670550,1253,7018,10990,15984,20666,29448,33291,36811,40023,40023
21,115441,180810,263020,340109,471411,535903,594911,648633,1231,6896,10798,15705,20305,28136,31978,35498,38712,38712
22,113437,177667,258444,334187,449850,514334,573353,627098,1210,6776,10609,15430,19949,26847,30689,34207,37422,37422
23,111467,174576,253946,328368,428664,493141,552171,605933,1189,6658,10424,15160,19600,25581,29422,32940,36156,36156
24,109531,171539,249523,322645,407843,472317,531352,585136,1168,6541,10241,14895,19256,24336,28177,31694,34911,34911
25,107627,168553,245177,317022,387384,451849,510895,564698,1148,6427,10062,14634,18918,23113,26953,30470,33687,33687
26,105757,165617,240903,311490,367282,431739,490789,544613,1128,6315,9886,14377,18586,21912,25751,29267,32485,32485
27,103917,162731,236702,306056,347526,411981,471033,524876,1108,6205,9713,14125,18259,20731,24570,28086,31304,31304
28,102109,159894,232571,300711,328113,392560,451615,505480,1089,6096,9542,13876,17938,19571,23410,26924,30143,30143
29,100331,157105,228512,295459,309041,373480,432535,486420,1070,5989,9375,13632,17622,18431,22270,25783,29002,29002
30,98585,154363,224519,290294,290294,354733,413782,467690,1051,5884,9210,13392,17311,17311,21149,24663,27881,27881
31,96866,151667,220597,285219,276375,336307,395356,449284,1033,5781,9048,13156,17006,16481,20048,23561,26779,26779
32,95178,149017,216738,280229,258201,318205,377244,431196,1015,5680,8888,12924,16705,15396,18967,22479,25696,25696
33,93517,146412,212948,275325,240345,300419,359450,413422,997,5580,8732,12696,16410,14329,17904,21416,24632,24632
34,91886,143851,209218,270503,222796,282938,341958,395955,979,5482,8578,12472,16120,13281,16860,20371,23586,23586
35,90281,141334,205556,265765,205556,265765,324775,378791,962,5385,8426,12251,15834,12251,15834,19345,22559,22559
36,88705,138858,201953,261108,194634,253030,307896,361925,945,5291,8277,12034,15553,11602,15076,18336,21550,21550
37,87155,136426,198414,256531 252034,177888 161431,236381 220021,291312 275013,345350,929,5197,8131,11821,15277 15006,10602,13105,16372,17346,20559
38,85631,134034,194934,,,,,329065,913,5106,7986,11611,,9619,14081,,19584,19584
开始领取年龄 =67 岁 39 40,84133 82662,131686 129374,191515,247613,145263,203949 188154,259003 243272,313059,896,5015,7845,11405,14739 14477,8654 7706,12145,15416,17688,17688
,,,188154,243272,129374,,,297334,881,4927,7706,11202,,,11202,14477,,
41,81215,127106,184853,239004,122677,178179,231627,281877,865,4840,7569,11003,14219,7311,10610,13784,16764,16764
42,79793,124873,181608,234813,107190,162839,216375,266691,850,4754,7434,10807,13965,6387,9695,12874,14966,14966
43,78396,122683,178420,230694,91974,147769,201395,251768,835,4670,7302,10614,13716 5479,,8795,11980,15857,15857
44,77023,120527,175288,226651,77023,132960,186673,237101,820,4587,7171,10424,13471 13230,4587,7912,11101,14090,14090
45,75674,118412,172211,222691,66233,118412,172211,222691,806,4506,7044,10238,,3946,7044,10238,13230,13230
46,74348,116332,169189,218799,51734,112313,163100,212048,791,4426,6918,10055,12993,3081,6686,9699,12598,12598
47,73045,114290,166220,214981,37487,98133,149055,198074,777,4347,6794,9875,12760,2232,5841,8861,11765,11765
48,71765,112282,163305,,,84198,135256,184350,764,4270,6672,9697,,,5010,8038,10946,10946
49,70508,110312,160441,,,70508,121698,170872,750,4194,6553,9523,,,4194,7229,10142,10142
50,69273,108376,157631,,,60640,108376,157631,737,4119,6435,9351,,,3608,6435,9351,9351
51,68061,106475,154870,,,47364,102827,149315,724,4045,6319,9182,,,2817,6113,8862,8862
52,66869,104609,152163,,,34319,89842,136456,711,3973,6205,9016,,,2040,5339,8095,8095
53,65700,102777,,,,,77086,123821,698,3902,6093,,,,,4579,7341,7341
54,64551,100978,,,,,64551,111410,686,3832,5982,,,,,3299,3832 6601 5873,3832 6601 5873
55,63425,,,,,,,,674,3763,5873,,,,,,,
56,62317,,,,,,,,662,3696,5766,,,,,,2575,5586
57,61232,,,,,,,,650,3629,5659,,,,,4878 4182,4878 4182,4878 4182
59,,,,,,,,,627,3499,,,,,,,,3499 3014
60,,,,,,,,,616,3435,,,,,,,,
61,,,,,,,,,605,3372,,,,,,,2352,2352
