37,"5,140","6,090","8,272","5,242","6,273","8,475"
38,"5,210","6,175","8,386","5,314","6,360","8,592"
39,"5,333","6,321","8,584","5,439","6,510","8,795"
40,"5,456","6,468","8,784","5,564","6,662","9,000"
41,"5,581","6,614","8,982","5,691","6,812","9,203"
42,"5,703","6,762","9,183","5,816","6,964","9,408"
43,"5,826","6,907","9,380","5,942","7,114","9,611"
44,"5,998","7,111","9,657","6,117","7,324","9,894"
45,"6,171","7,317","9,936","6,292","7,536","10,180"
46,"6,344","7,520","10,212","6,470","7,746","10,464"
47,"6,516","7,726","10,491","6,645","7,958","10,749"
48,"6,689","7,930","10,768","6,822","8,168","11,033"
49,"7,046","8,356","11,346","7,188","8,607","11,625"
50,"7,408","8,783","11,925","7,556","9,046","12,218"
51,"7,766","9,209","12,506","7,922","9,485","12,813"
52,"8,128","9,635","13,084","8,290","9,924","13,406"
53,"8,487","10,061","13,662","8,656","10,363","13,998"
54,"8,974","10,639","14,446","9,153","10,958","14,801"
55,"9,460","11,215","15,230","9,647","11,552","15,604"
56,"9,947","11,793","16,014","10,146","12,147","16,407"
57,"10,436","12,369","16,798","10,643","12,740","17,211"
58,"10,922","12,947","17,581","11,138","13,336","18,014"
59,"12,163","14,421","19,583","12,407","14,854","20,064"
60,"13,409","15,895","21,584","13,675","16,372","22,115"
61,"14,650","17,368","23,586","14,943","17,889","24,166"
62,"15,895","18,842","25,587","16,209","19,407","26,216"
63,"17,137","20,316","27,588","17,478","20,925","28,267"
64,"18,463","21,890","29,724","18,831","22,547","30,455"
65,"19,792","23,462","31,860","20,185","24,166","32,643"
66,"21,769","25,036","33,996","22,206","25,787","34,832"
67,"23,137","26,608","36,132","23,601","27,406","37,020"
68,"24,505","28,181","38,268","24,996","29,027","39,209"
69,"25,512","29,340","39,840","26,023","30,220","40,820"
70,"26,518","30,498","41,413","27,050","31,413","42,431"
